data_id,name
city:186,New York
city:10713,Jersey City
city:377,San Francisco
city:366,Washington D.C.
city:361,Los Angeles
city:154767,Beverly Hills
city:10891,Santa Monica
city:10850,North Glendale
city:10587,Arlington
city:364,Chicago
city:159285,West Hollywood
city:4939,Anaheim
city:320,Orlando
city:10661,South Boston
city:363,Boston
city:362,Seattle
city:311,Las Vegas
city:10728,Coney Island
city:10725,Bensonhurst
city:414,Philadelphia
city:10452,Miami Beach
city:411051,Niagara Falls
city:1719,Niagara Falls
city:508,San Diego
city:1602,Burbank
city:3804,Grand Canyon West
city:2968,San Juan
city:1773,New Orleans
city:151390,Pearl City
city:151699,Aiea
city:2550,Honolulu
city:359,Miami
city:3773,Monterey
city:1461133,Malibu
city:10887,Santa Barbara
city:1845,Santa Barbara
city:140578,Santa Barbara
city:10810,East Los Angeles
city:1801,Mountain View
city:1806,Oakland
city:1816,Portland
city:10890,Santa Cruz
city:1623,Colorado Springs
city:10710,Elizabeth
city:1839,San Antonio
city:151503,Kailua
city:1207612,Manhattan Beach
city:10441,Fountainebleau
city:10472,Tamiami
city:1751,Tampa
city:4937,Newark
city:4069,Bar Harbor
city:1595,Nashville
city:1858,St. Louis
city:1855,San Luis
city:1661,Fort Lauderdale
city:360,Atlanta
city:1754,Memphis
city:1844,Savannah
city:10551,New South Memphis
city:10832,Huntington Beach
city:10470,Sunrise
city:1603,Baltimore
city:1649,Houston
city:4934,Napa
city:367,Denver
city:1853,Salt Lake City
city:10835,Inglewood
city:4446,Flagstaff
city:10849,Newport Beach
city:418,Dallas
city:2549,Kaneohe Bay
city:397,Austin
city:1617,Cleveland
city:1827,Palm Springs
city:10662,South Peabody
city:1812,Everett
city:10786,Buena Park
city:10870,Redondo Beach
city:10809,Downey
city:255917,Naples
city:10884,San Pedro
city:1563,Atlantic City
city:1800,Oceana
city:1250765,Alexandria
city:1871,Kendall-Tamiami
city:1820,Pittsburgh
city:10520,Asheville
city:4528,New Haven
city:10856,Palo Alto
city:10854,Orange
city:292627,Newport
city:3902,San Luis Obispo
city:154144,Rancho Palos Verdes
city:1679938,R�_o Piedras
city:2553,Kahului
city:10433,Clearwater
city:3502,Daytona Beach
city:10784,Berkeley
city:10894,South Gate
city:10979,Florence-Graham
city:10933,Henderson
city:4931,Portland
city:151428,Kaneohe
city:2557,Hilo
city:3885,Charleston
city:1717,Hollywood
city:1771,Minneapolis
city:10528,Camden
city:1850,San Jos̩
city:2552,Lahaina-Kapalua
city:10858,Pasadena
city:1750,Sacramento
city:1601,Buffalo
city:1560,Albuquerque
city:195061,Mitchell
city:1752,Kansas City
city:365,Phoenix
city:3536,Sioux Falls
city:140240,Lahaina
city:4292,Cody
city:301,Anchorage
city:4755,St. George
city:493,Detroit
city:1909,Juneau
city:150312,Waipahu
city:10775,Tempe Junction
city:1673,Fort Worth
city:10888,Santa Clara
city:1852,Sandusky
city:10553,Arlington
city:1843,Santa Fe
city:151962,Kailua-Kona
city:2971,Ponce
city:1790,Miramar
city:3473,Martha's Vineyard
city:233953,Columbus
city:1620,Columbus
city:1760,Milwaukee
city:1608,Colombus
